,0
0,California
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,Nevada
17,New Hampshire
18,New Jersey
19,New Mexico
20,New York
21,North Carolina
22,North Dakota
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Texas
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
